Location name,Amount spent (UYU)
Artigas Department,140
Canelones Department,432
Cerro Largo Department,186
Colonia Department,182
Durazno Department,106
Flores Department,≤100
Florida Department,107
Lavalleja Department,≤100
Maldonado Department,216
Montevideo Department,1730
Paysandú Department,2148
Rivera Department,463
Rocha Department,110
Río Negro Department,197
Salto Department,286
San José Department,118
Soriano Department,137
Tacuarembó Department,123
Treinta y Tres Department,117
Unknown,≤100
