Location name,Amount spent (LBP)
Beirut Governorate,3140987
Beqaa Governorate,571503
Mount Lebanon Governorate,1359871
Nabatieh Governorate,289098
North Governorate,1240598
South Governorate,518193
Unknown,≤100
