Location name,Amount spent (PYG)
Alto Paraguay Department,136253
Alto Paraná Department,11865419
Amambay Department,1241380
Asunción,12067457
Boquerón department,462138
Caaguazú Department,3722747
Caazapá Department,709219
Canindeyú Department,1076146
Central Department,27026688
Concepción Department (Paraguay),1447056
Cordillera Department,2148950
Guairá Department,1318785
Itapúa Department,5478655
Misiones Department,1351829
Paraguarí Department,1308882
Presidente Hayes Department,740998
San Pedro Department,1567525
Unknown,2424
Ñeembucú Department,907049
