Location name,Amount spent (AUD)
Australian Capital Territory,583
Jervis Bay Territory,≤100
New South Wales,18846
Northern Territory,221
Queensland,6571
South Australia,2487
Tasmania,1341
Unknown,≤100
Victoria,10378
Western Australia,3572
