Location name,Amount spent (INR)
Andaman and Nicobar Islands,203
Andhra Pradesh,64805
Arunachal Pradesh,1051
Assam,16459
Bihar,52513
Chandigarh,2916
Chhattisgarh,17131
Dadra and Nagar Haveli,1124
Delhi,44994
Goa,1898
Gujarat,46493
Haryana,48215
Himachal Pradesh,15358
Jammu and Kashmir,13474
Jharkhand,12571
Karnataka,159530
Kerala,14704
Lakshadweep,≤100
Madhya Pradesh,65539
Maharashtra,147726
Manipur,1750
Meghalaya,252899
Mizoram,652
Nagaland,42548
Odisha,14220
Puducherry,1459
Punjab region,41882
Rajasthan,99432
Sikkim,679
Tamil Nadu,38167
Telangana,60957
Tripura,302699
Unknown,134
Uttar Pradesh,99499
Uttarakhand,11927
West Bengal,46058
