Location name,Amount spent (INR)
Andaman and Nicobar Islands,166
Andhra Pradesh,66237
Arunachal Pradesh,511
Assam,26431
Bihar,80167
Chandigarh,1640
Chhattisgarh,27671
Dadra and Nagar Haveli,643
Delhi,39843
Goa,1427
Gujarat,44688
Haryana,39091
Himachal Pradesh,11970
Jammu and Kashmir,8587
Jharkhand,15063
Karnataka,158876
Kerala,11020
Lakshadweep,≤100
Madhya Pradesh,59758
Maharashtra,127494
Manipur,2295
Meghalaya,888419
Mizoram,419
Nagaland,184081
Odisha,13214
Puducherry,1170
Punjab region,38017
Rajasthan,100266
Sikkim,477
Tamil Nadu,30403
Telangana,36852
Tripura,2006
Unknown,≤100
Uttar Pradesh,80377
Uttarakhand,10106
West Bengal,34281
