Location name,Amount spent (JPY)
Aichi Prefecture,48351
Akita Prefecture,3887
Aomori Prefecture,6597
Chiba Prefecture,41525
Ehime Prefecture,5993
Fukui Prefecture,3819
Fukuoka Prefecture,47489
Fukushima Prefecture,9052
Gifu Prefecture,10046
Gunma Prefecture,14581
Hiroshima Prefecture,13744
Hokkaido,35191
Hyōgo Prefecture,33707
Ibaraki Prefecture,14176
Ishikawa Prefecture,6446
Iwate Prefecture,6301
Kagawa Prefecture,7483
Kagoshima Prefecture,6357
Kanagawa Prefecture,80040
Kumamoto Prefecture,9786
Kyoto Prefecture,21609
Kōchi Prefecture,2222
Mie Prefecture,10022
Miyagi Prefecture,20530
Miyazaki Prefecture,5046
Nagano Prefecture,9017
Nagasaki Prefecture,8062
Nara Prefecture,7277
Niigata Prefecture,9973
Okayama Prefecture,12692
Okinawa Prefecture,13501
Osaka Prefecture,69497
Saga Prefecture,4121
Saitama Prefecture,40570
Shiga Prefecture,8565
Shimane Prefecture,2589
Shizuoka Prefecture,17649
Tochigi Prefecture,8545
Tokushima Prefecture,2703
Tokyo,119417
Tottori Prefecture,1919
Toyama Prefecture,4591
Unknown,≤100
Wakayama Prefecture,4305
Yamagata Prefecture,5849
Yamaguchi Prefecture,5837
Yamanashi Prefecture,13387
Ōita Prefecture,6040
