Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,108
Apurímac Region,≤100
Arequipa Region,136
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,113
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,189
Lambayeque Region,126
Lima Region,1118
Loreto Region,247
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,229
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
