Location name,Amount spent (EGP)
Al Sharqia Governorate,3449
Alexandria Governorate,3108
Aswan Governorate,520
Asyut Governorate,1271
Beheira Governorate,1866
Beni Suef Governorate,1023
Cairo Governorate,6648
Dakahlia Governorate,3776
Damietta Governorate,1064
Faiyum Governorate,890
Gharbia Governorate,2707
Giza Governorate,2174
Ismailia Governorate,986
Kafr el-Sheikh Governorate,1515
Luxor Governorate,368
Matrouh Governorate,178
Minya Governorate,1378
Monufia Governorate,1893
New Valley Governorate,170
North Sinai Governorate,244
Port Said Governorate,678
Qalyubia Governorate,1872
Qena Governorate,955
Red Sea Governorate,325
Sohag Governorate,1762
South Sinai Governorate,139
Suez Governorate,437
Unknown,≤100
