Location name,Amount spent (COP)
Amazonas,670
Antioquia,6265098
Arauca,29270
Atlantico,1246761
Bolivar,289035
Boyaca,79153
Caldas,919832
Caqueta,105568
Casanare,13788
Cauca,123872
Cesar,71803
Choco,47983
Cordoba,219039
Cundinamarca,385549
Distrito Especial,1576423
Guainia,794
Guaviare,6359
Huila,276887
La Guajira,24328
Magdalena,310307
Meta,417444
Narino,62196
Norte de Santander,512495
Putumayo,40843
Quindio,62098
Risaralda,1313059
San Andres y Providencia,2779
Santander,937694
Sucre,153989
Tolima,737954
Unknown,≤100
Valle del Cauca,2064268
Vaupes,143
Vichada,485
