Location name,Amount spent (EUR)
Alsace,425
Aquitaine,884
Auvergne,268
Basse-Normandie,311
Bourgogne,326
Bretagne,757
Centre,700
Champagne-Ardenne,299
Corse,112
Franche-Comté,209
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,628
Languedoc-Roussillon,937
Limousin,154
Lorraine,592
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,709
New Caledonia,≤100
Nord-Pas-de-Calais,897
Pays de la Loire,762
Picardie,451
Poitou-Charentes,477
Provence-Alpes-Côte d'Azur,1785
Reunion Island,≤100
Rhône-Alpes,1628
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3896
