Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,602
Cerro Largo Department,≤100
Colonia Department,152
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,261
Montevideo Department,3407
Paysandú Department,106
Rivera Department,279
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,548
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
