Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
119565995152,Coca-Cola,Coca-Cola South Pacific,12053,4
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,8747,142
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",2917,4
514475628623089,Our Watch,Our Watch,1574,3
710266392358023,Future Super,Future Super,1553,29
213476079972,Essential Workers Deserve Better,Mark Morey,1496,42
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",1319,7
101589645013040,Thrive by Five,Thrive By Five,1313,15
10113538711,WWF-Australia,WWF-Australia,1304,50
101791315693,Destiny Rescue,Destiny Rescue,1146,20
92824008332,Plan International Australia,Plan International Australia,1113,39
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1057,12
1776727752614025,Glencore,Glencore Australia,1038,2
447447719391089,Health Care Providers Association,Health Care Providers Association,999,10
177072498997234,NSW Electoral Commission,NSW Electoral Commission,994,22
162747001109183,TWU Members First,TWU Members First Team,984,2
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,872,11
373523642668552,Energy - Queensland,Department of Energy and Public Works,827,43
182564410468,Australia for UNHCR,Australia for UNHCR,684,87
161854162881,Greenfleet,Greenfleet,655,24
126755754702938,Respect Victoria,Respect Victoria,635,10
308746806571901,Advance Australia,Advance Australia,563,25
117241141903,Barnardos Australia,Barnardos Australia,542,7
149648047339,Save the Children Australia,Save the Children Australia,482,19
89794331215,Oxfam,Oxfam Australia,462,56
307014179414836,David Speirs MP,South Australian Liberals,458,2
1943258269309425,Equality Australia,Equality Australia,449,8
299753643444311,AEC,Australian Electoral Commission,442,25
8422338499,The Wilderness Society,The Wilderness Society,440,37
231341250224498,Australian Ethical Investment,Australian Ethical Investment,438,70
10852627380,World Animal Protection Australia,World Animal Protection Australia,424,7
198538033525283,deadly stories,"Department of Seniors, Disability Services and Aboriginal and Torres Strait Islander Partnership",420,4
49453745631,Amnesty International Australia,Amnesty International Australia,407,7
102329728050606,From the Heart,Cape York Institute,391,9
494820897261439,Bank Australia,Bank Australia,387,20
504855933190931,Time for Change - Change Aged Care,United Workers Union,337,66
345960425540557,The Climate Council,The Climate Council,335,80
1989373424630784,Bridging the Gap Foundation,Bridging the Gap Foundation,309,17
316480331783930,Australian Unions,Australian Unions,293,53
446123629270004,Wildlands Festival,These ads ran without a disclaimer,287,6
59024478936,Monash University,Monash University,287,18
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,276,8
329777267205680,ACT Government,ACT Government,268,19
11775531229,The Chaser,The Chaser,263,4
694832627392516,Prime Super,Prime Super,257,150
231952773568442,Berry Street,Berry Street,254,12
159487260807787,Tindo Solar,Tindo Solar,245,4
581606621934473,International Justice Mission,IJM Australia with Facebook ad credits,241,4
1856952217890753,Sam O'Connor MP,Sam O'Connor MP,238,4
13527056454,GetUp!,GetUp!,233,1
106802658458781,Vape and Vote,Legalise Vaping Australia,229,3
100317645636097,UniSuper,UniSuper,215,7
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,214,23
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),206,10
200819325600,ActionAid Australia,ActionAid Australia,202,22
208483319188390,Queensland Unions,Queensland Unions,199,3
119570884780306,Katy Gallagher,Katy Gallagher,199,2
352953834815624,Jason Wood MP,Jason Wood MP,191,4
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,190,5
156271657717715,Nature NSW,Nature Conservation Council of NSW,190,18
105084998845350,BPH Energy,BPH ENERGY LTD,186,50
113606643816829,Round Theory Wines,Round Theory Wines,186,4
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,185,5
655173787829512,National Zakat Foundation Australia,NATIONAL ZAKAT FOUNDATION INCORPORATED,178,217
157812980921536,Environmental Defenders Office,Environmental Defenders Office,173,28
272757739102,Engineers Australia,Engineers Australia,164,5
1606513883009154,Kerrynne Liddle - Liberal Senator for SA,Senator Kerrynne Liddle,163,5
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,160,2
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,156,9
119931654696956,Victorian Greens,Victorian Greens,147,4
726565307466774,Peta Murphy MP Federal Member for Dunkley,Peta Murphy MP Federal Member for Dunkley,141,2
157481181070130,Indigenous Employment Australia,Access,140,65
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,136,8
303724473086333,Advocacy Tasmania,Advocacy Tasmania,135,3
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,135,13
8013404017,Crikey,Private Media,134,48
100356216050100,Family First Party Australia,Family First Party Australia Ltd,131,2
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,122,27
250114505002383,Hume City Council,Hume City Council,115,2
145347352187764,UN Women Australia,UN Women Australia,108,12
1300759363397798,Terry Young MP,Terry Young MP,104,2
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,103,23
137619162220,Liberals WA,Liberals WA,101,1
22936848857,Institute of Public Affairs,Institute of Public Affairs,≤100,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,1
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,≤100,6
209356172528167,Lateral Event Management,Lateral Events,≤100,18
214580121886337,The Ethics Centre,The Ethics Centre,≤100,17
709617325724631,Jess Pugh MP for Mount Ommaney,Jess Pugh MP,≤100,1
111577958275695,Better BeCause,Better BeCause,≤100,12
119246428679,NSW Labor,NSW Labor,≤100,4
160089444042253,WA Labor,WA Labor,≤100,1
93698535865,Toowoomba Region,Toowoomba Regional Council,≤100,1
76212817063,CARE Australia,CARE Australia,≤100,13
21591025194,The University of Melbourne,The University of Melbourne,≤100,2
308157459947922,EveryAGE Counts,The Benevolent Society,≤100,2
2063329587276680,Anika Wells MP,Anika Wells MP,≤100,5
362805317148988,Keith Pitt,Keith Pitt,≤100,1
363184810447890,Jarrod Bleijie MP,Jarrod Bleijie MP,≤100,2
312189205577810,Australian & New Zealand Mental Health Association,AST Management,≤100,3
203933633277603,Meaghan Scanlon MP,Meaghan Scanlon - Member for Gaven,≤100,6
327169760731815,Luke Gosling MP,Luke Gosling MP,≤100,3
90728602000,Greening Australia,Greening Australia,≤100,4
172774889455415,Catholic Mission,Catholic Mission,≤100,1
395201170875812,Colin Boyce MP,Colin Boyce MP,≤100,4
2095657470702857,Senator Susan McDonald,Senator Susan McDonald,≤100,2
788385304507966,Joe Kelly MP,Joe Kelly MP,≤100,1
336074670274838,Heliograf,Heliograf Pty Limited,≤100,2
521696954688354,Guardian Labs,Guardian Labs,≤100,7
482198868521917,Asot Michael,These ads ran without a disclaimer,≤100,3
107939487783753,Garth Hamilton MP,Garth Hamilton MP,≤100,1
479849235417300,The Shot,The Chaser,≤100,2
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,≤100,3
104936088727424,Sam Birrell MP,Sam Birrell MP,≤100,1
141987795846694,Business SA,Business SA,≤100,1
848445661902339,Full Stop Australia,These ads ran without a disclaimer,≤100,6
108381455902627,Australian Christian Lobby,Australian Christian Lobby,≤100,8
419632568108398,Australian Citizens Party,Australian Citizens Party,≤100,4
801533023293160,Binary,Gender Awareness Australia,≤100,12
104936647887384,IDEA,IDEA Academy,≤100,5
1732951633627025,Farmers for Climate Action,Farmers for Climate Action,≤100,3
207237466109904,CFMEU Vic-Tas,CFMEU Vic-Tas,≤100,3
102336681506217,WorkforClimate,WorkForClimate,≤100,9
276061352415442,The Australian Institute of Architects,The Australian Institute of Architects,≤100,2
1507974409416751,Simon Wood MP,Simon Wood - Liberal for Bass,≤100,5
736734193067726,Ann Leahy,Ann Leahy MP,≤100,1
126215308565,SmartCompany,Private Media,≤100,13
1660905180833979,Parliament of Victoria,Parliament of Victoria,≤100,3
101348905676810,Communities Against The Tarago Incinerator Inc,Communities Against The Tarago Incinerator Inc,≤100,2
489176018522933,Senator Tony Sheldon,Office of Senator Tony Sheldon,≤100,3
367759967036315,Dr David Honey MLA,Dr David Honey MLA,≤100,1
555015041253851,Stanwell,Stanwell Corporation,≤100,2
160021291752,Environment Victoria,Environment Victoria,≤100,3
141579799212831,Refugee Action Coalition Sydney RAC,Refugee Action Coalition Sydney,≤100,1
121048249842,Victor Chang Cardiac Research Institute,Victor Chang Cardiac Research Institute,≤100,4
22746335927,Bob Brown Foundation,Bob Brown Foundation,≤100,2
105610156282,Human Rights Law Centre,The Human Rights Law Centre,≤100,1
101181622808136,"Bronwyn Smith for City of Wanneroo, North-East ward",Bronwyn Smith,≤100,4
544041956063892,Health Studies Australia,Health Studies Australia,≤100,1
174666115898903,Jerome Laxale MP,Jerome Laxale,≤100,5
367759967036315,Dr David Honey MLA,Dr David Honey MLA,≤100,2
260341184329005,PointsBet,These ads ran without a disclaimer,≤100,1
1504231626276260,"Michael Brown MP, Member for Florey",Michael Brown MP,≤100,2
106440287879664,Jimmy Sullivan MP,Jimmy Sullivan MP,≤100,4
105307322261671,Faith in Action,Catholic Education Tasmania,≤100,4
71605069428,City of Melville,City of Melville,≤100,2
273767159580,Physical Disability Council of NSW,Physical Disability Council of NSW,≤100,1
272940769882451,Meadowbrook Golf Club,Minh Bao Nguyen,≤100,13
103653191525,Ben & Jerry's,Ben & Jerry's,≤100,2
1500111663533656,Redlands2030,Redlands2030,≤100,2
217740021614483,Electoral Commission of Queensland,Electoral Commission of Queensland,≤100,1
108276941308917,Australian Solar Info,These ads ran without a disclaimer,≤100,1
114108316662776,Jonty Bush - Member for Cooper,Jonty Bush,≤100,2
287789063686,Brendan O'Connor MP,Brendan O'Connor MP,≤100,1
38223706738,Sydney Children's Hospitals Foundation,These ads ran without a disclaimer,≤100,2
169695319887050,Fair Agenda,Fair Agenda,≤100,1
