Location name,Amount spent (ISK)
Capital Region,22522
Eastern Region,1383
Northeastern Region,10776
Northwestern Region,1764
Southern Peninsula,2205
Southern Region,2547
Unknown,≤100
Western Region,2110
Westfjords,887
