Location name,Amount spent (RON)
Alba County,374
Arad County,827
Argeș County,732
Bacău County,698
Bihor County,961
Bistrița-Năsăud County,313
Botoșani County,588
Brașov County,724
Brăila County,383
Bucharest,5795
Buzău County,445
Caraș-Severin County,460
Cluj County,1287
Constanța County,1050
Covasna County,303
Călărași County,289
Dolj County,898
Dâmbovița County,592
Galați County,639
Giurgiu County,326
Gorj County,560
Harghita County,559
Hunedoara County,702
Ialomița County,348
Iași County,1572
Ilfov County,543
Maramureș County,624
Mehedinți County,343
Mureș County,1201
Neamț County,829
Olt County,366
Prahova County,1097
Satu Mare County,523
Sibiu County,497
Suceava County,690
Sălaj County,290
Teleorman County,372
Timiș County,1698
Tulcea County,431
Unknown,≤100
Vaslui County,386
Vrancea County,426
Vâlcea County,407
