Location name,Amount spent (HTG)
Artibonite Department,433
Centre Department,141
Grand'Anse Department,143
Nippes Department,141
Nord Department,286
Nord-Est Department,140
Nord-Ouest Department,142
Ouest Department,1665
Sud Department,142
Sud-Est Department,≤100
Unknown,≤100
