Location name,Amount spent (AUD)
Australian Capital Territory,1502
Jervis Bay Territory,≤100
New South Wales,22702
Northern Territory,632
Queensland,18009
South Australia,6738
Tasmania,2417
Unknown,≤100
Victoria,22376
Western Australia,9463
