Location name,Amount spent (USD)
Azuay Province,434
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,133
Chimborazo Province,214
Cotopaxi Province,174
El Oro Province,570
Esmeraldas Province,262
Galápagos Province,≤100
Guayas Province,2409
Imbabura Province,267
Loja Province,281
Los Ríos Province,598
Manabí Province,1053
Morona-Santiago Province,125
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1301
Santa Elena Province,296
Santo Domingo de los Tsáchilas Province,311
Sucumbíos Province,120
Tungurahua Province,397
Unknown,≤100
Zamora-Chinchipe Province,121
