Location name,Amount spent (JPY)
Aichi Prefecture,27943
Akita Prefecture,1882
Aomori Prefecture,3026
Chiba Prefecture,23512
Ehime Prefecture,2780
Fukui Prefecture,1957
Fukuoka Prefecture,44944
Fukushima Prefecture,3744
Gifu Prefecture,5260
Gunma Prefecture,12337
Hiroshima Prefecture,8439
Hokkaido,16539
Hyōgo Prefecture,28301
Ibaraki Prefecture,6479
Ishikawa Prefecture,2965
Iwate Prefecture,2460
Kagawa Prefecture,4556
Kagoshima Prefecture,3509
Kanagawa Prefecture,44694
Kumamoto Prefecture,7330
Kyoto Prefecture,12537
Kōchi Prefecture,1482
Mie Prefecture,8370
Miyagi Prefecture,11840
Miyazaki Prefecture,4311
Nagano Prefecture,5550
Nagasaki Prefecture,4588
Nara Prefecture,4044
Niigata Prefecture,4608
Okayama Prefecture,5248
Okinawa Prefecture,5199
Osaka Prefecture,44818
Saga Prefecture,3217
Saitama Prefecture,23091
Shiga Prefecture,4415
Shimane Prefecture,1626
Shizuoka Prefecture,9932
Tochigi Prefecture,4921
Tokushima Prefecture,1745
Tokyo,75633
Tottori Prefecture,1499
Toyama Prefecture,3276
Unknown,≤100
Wakayama Prefecture,2774
Yamagata Prefecture,2223
Yamaguchi Prefecture,2776
Yamanashi Prefecture,3840
Ōita Prefecture,4954
