Location name,Amount spent (GBP)
Grouville,≤100
Saint Brélade,≤100
Saint Clement,≤100
Saint Helier,≤100
Saint Lawrence,≤100
Saint Martin,≤100
Saint Mary,≤100
Saint Ouen,≤100
Saint Peter,≤100
Saint Saviour,≤100
Trinity,≤100
Unknown,≤100
