Location name,Amount spent (PLN)
Greater Poland Voivodeship,4939
Kuyavian-Pomeranian Voivodeship,2717
Lesser Poland Voivodeship,5718
Lower Silesian Voivodeship,4004
Lublin Voivodeship,2224
Lubusz Voivodeship,1254
Masovian Voivodeship,8168
Opole Voivodeship,905
Podkarpackie Voivodeship,1973
Podlaskie Voivodeship,1356
Pomeranian Voivodeship,3191
Silesian Voivodeship,5153
Unknown,≤100
Warmian-Masurian Voivodeship,1680
West Pomeranian Voivodeship,2792
Łódź Voivodeship,3251
Świętokrzyskie Voivodeship,1196
