Location name,Amount spent (ISK)
Capital Region,36287
Eastern Region,1279
Northeastern Region,5155
Northwestern Region,627
Southern Peninsula,2085
Southern Region,4360
Unknown,≤100
Western Region,1286
Westfjords,5315
