Location name,Amount spent (MXN)
Aguascalientes,8027
Baja California,16382
Baja California Sur,2212
Campeche,7028
Chiapas,9353
Chihuahua,17777
Coahuila de Zaragoza,34442
Colima,3811
Distrito Federal,57790
Durango,3687
Guanajuato,17716
Guerrero,4279
Hidalgo,5400
Jalisco,62450
Michoacán de Ocampo,12942
Morelos,5867
Nayarit,3677
Nuevo León,37116
Oaxaca,6108
Puebla,10992
Querétaro Arteaga,9165
Quintana Roo,12202
San Luis Potosi,12251
Sinaloa,5693
Sonora,8419
State of Mexico,156418
Tabasco,5630
Tamaulipas,19875
Tlaxcala,2725
Unknown,≤100
Veracruz,17516
Yucatán,13460
Zacatecas,2507
