Location name,Amount spent (EGP)
Al Sharqia Governorate,4415
Alexandria Governorate,1298
Aswan Governorate,178
Asyut Governorate,436
Beheira Governorate,619
Beni Suef Governorate,242
Cairo Governorate,2847
Dakahlia Governorate,1093
Damietta Governorate,331
Faiyum Governorate,236
Gharbia Governorate,982
Giza Governorate,893
Ismailia Governorate,750
Kafr el-Sheikh Governorate,585
Luxor Governorate,130
Matrouh Governorate,≤100
Minya Governorate,511
Monufia Governorate,545
New Valley Governorate,1035
North Sinai Governorate,≤100
Port Said Governorate,199
Qalyubia Governorate,1316
Qena Governorate,338
Red Sea Governorate,117
Sohag Governorate,495
South Sinai Governorate,≤100
Suez Governorate,120
Unknown,≤100
