Location name,Amount spent (PKR)
Azad Kashmir,1147
Balochistan,2404
Federally Administered Tribal Areas,396
Gilgit-Baltistan,775
Islamabad Capital Territory,2313
Khyber Pakhtunkhwa,10245
Punjab,35939
Sindh,12363
Unknown,≤100
