Location name,Amount spent (NZD)
Auckland Region,4507
Bay of Plenty Region,826
Canterbury,1612
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,412
Manawatu-Wanganui,582
Marlborough Region,115
Nelson Province,149
Northland Region,550
Otago,637
Southland,235
Taranaki,591
Tasman District,≤100
Unknown,≤100
Waikato,1210
Wellington Region,1230
West Coast,≤100
