Location name,Amount spent (KES)
Central Province,261
Coast Province,≤100
Eastern Province,108
Nairobi,2449
North Eastern Province,≤100
Nyanza Province,398
Rift Valley Province,599
Unknown,≤100
Western Province,≤100
