Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
123191400766960,Incubadora +Cr,+Costa Rica,8899,2
161538647202796,David Segura - Diputado,David Segura - Diputado,5703,2
102705571877489,Gartech Equipments Pvt Ltd,These ads ran without a disclaimer,3990,1
117702158266385,Antonio Álvarez Desanti,Antonio Álvarez Desanti,3804,1
102851155670931,mUEve,mUEve,3261,7
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,2334,1
265843867173714,La Revista,La Revista,1967,1
100508562815254,Juan Diego González Picado,Juan Diego González Picado,1087,1
115685088068838,En Común,En Común,667,1
124688680554716,Laura Mariana,These ads ran without a disclaimer,590,7
294427584283412,REPEM LAC,These ads ran without a disclaimer,≤100,2
123191400766960,Incubadora +Cr,These ads ran without a disclaimer,≤100,1
100570355996366,raquelcalue,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
103497027790225,Fonos,These ads ran without a disclaimer,≤100,1
122115704210281,Maria Aparecida VS,These ads ran without a disclaimer,≤100,1
106842858489193,Cooking Center - Restaurant Game,These ads ran without a disclaimer,≤100,1
104523644914955,The Primary Market - Professionals,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,1
1835085710042192,Haifa Group México,These ads ran without a disclaimer,≤100,1
