Location name,Amount spent (AUD)
Australian Capital Territory,638
Jervis Bay Territory,≤100
New South Wales,9868
Northern Territory,211
Queensland,5856
South Australia,1996
Tasmania,755
Unknown,≤100
Victoria,6147
Western Australia,2948
