Location name,Amount spent (EGP)
Al Sharqia Governorate,2768
Alexandria Governorate,3365
Aswan Governorate,435
Asyut Governorate,909
Beheira Governorate,1444
Beni Suef Governorate,619
Cairo Governorate,6984
Dakahlia Governorate,2952
Damietta Governorate,925
Faiyum Governorate,651
Gharbia Governorate,2081
Giza Governorate,1975
Ismailia Governorate,583
Kafr el-Sheikh Governorate,1165
Luxor Governorate,274
Matrouh Governorate,≤100
Minya Governorate,900
Monufia Governorate,1454
New Valley Governorate,122
North Sinai Governorate,210
Port Said Governorate,504
Qalyubia Governorate,1757
Qena Governorate,646
Red Sea Governorate,208
Sohag Governorate,949
South Sinai Governorate,≤100
Suez Governorate,391
Unknown,≤100
