Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1468570519872644,Santiago Peña,PRANA SA,9100361,37
103771265752808,Vysokolán,Stephan Vysokolán,5183058,22
532716330164048,Sole Núñez,PautaPY,3848326,12
196599783696918,Efrain Alegre,Comunicá,3641047,78
102917519228790,Bruno Defelippe,PautaPY,3181675,36
102963512483270,PyElige,PY Elige,2667076,26
100959471597014,José Antonio Galeano,José Antonio Galeano,2551991,18
110447625137045,Pilar Callizo,PautaPY,1938113,6
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,1709731,12
132554373464255,La Nación,La Nación,1396842,28
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,1310697,6
1310731702357133,GEN,GEN,1270639,3
196406677113756,Rafael Filizzola,Comunicá,1136036,15
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,947595,5
102266292553995,Sucia Política,Diego Ricardo Ramírez,917906,12
325540631525675,En La Tecla,En la Tecla,897183,8
153958777947957,Paulo Reichardt,Paulo Reichardt,876860,10
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,825556,2
1753251591598763,Dani Mujica,Dani Mujica,798479,20
532716330164048,Sole Núñez,Sole Núñez,797017,13
100445112671378,Fernando Camacho Senador 2023,Fernando Camacho Senador 2023,733238,8
647864758888200,Seba Garcia,Sebastian Garcia,671308,25
943824938962084,Luis Fernando,Luis Fernando,670246,36
102044605201604,TIKI González Vaesken,TIKI González Vaesken,627100,10
543009152823138,Tio Enri,Tio Enri,615662,17
501786636589565,Rocio Vallejo,Hilda Maria Del Rocio Vallejo Avalos,571643,3
107104641909575,Rubén Rubin,Rubén Rubin,558767,2
114979542421407,Kattya González,Kattya Mabel Gonzalez Villanueva,484843,1
241512319274531,Sixto Pereira,Sixto Pereira,462723,3
107038818726605,Alianza Encuentro Nacional,PautaPY,449481,2
1692624097481207,Mujeres GANAR,Mujeres GANAR,430614,96
498022813689642,Oscar González Drakeford,Oscar González,362297,10
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,358938,20
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,358889,9
102123052860574,Giampaolo Ficorilli Diputado,Giampaolo Ficorilli Gomez,358352,10
105787598141250,Ever Rojas Borja,IMAGEN DE GOBIERNO,345679,9
495567100804506,Tito 2023,Federico Rafael Vergara Aguero,339178,6
102467002671611,Jorge Heisecke,Jorge Heisecke,322687,10
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,322613,3
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,309395,2
724051717643013,Miguel Prieto,Miguel Prieto,302980,8
614795685343483,Belén Maldonado,Belén Maldonado,301680,8
102137945346781,Movimiento Ciudadanía Activa,PautaPY,288683,2
1743207422388410,Paraguay Vota,Pablo Benítez,287150,7
109626041763537,Natalicio Chase,Global Agencia,286698,12
