Location name,Amount spent (EGP)
Al Sharqia Governorate,6727
Alexandria Governorate,5651
Aswan Governorate,904
Asyut Governorate,2361
Beheira Governorate,3418
Beni Suef Governorate,1552
Cairo Governorate,13717
Dakahlia Governorate,7591
Damietta Governorate,1963
Faiyum Governorate,1399
Gharbia Governorate,5033
Giza Governorate,4397
Ismailia Governorate,1453
Kafr el-Sheikh Governorate,2682
Luxor Governorate,657
Matrouh Governorate,269
Minya Governorate,2715
Monufia Governorate,4209
New Valley Governorate,244
North Sinai Governorate,470
Port Said Governorate,1865
Qalyubia Governorate,4226
Qena Governorate,1693
Red Sea Governorate,499
Sohag Governorate,2705
South Sinai Governorate,198
Suez Governorate,782
Unknown,≤100
