Location name,Amount spent (USD)
Alabama,14919
Alaska,3300
American Samoa,≤100
Arizona,27425
Arkansas,8877
California,135898
Colorado,23404
Connecticut,10660
Delaware,3560
Florida,73518
Georgia,33073
Guam,≤100
Hawaii,4573
Idaho,5995
Illinois,40120
Indiana,21884
Iowa,20864
Kansas,9847
Kentucky,17209
Louisiana,17778
Maine,6740
Maryland,21943
Massachusetts,23674
Michigan,37319
Minnesota,15313
Mississippi,24242
Missouri,19620
Montana,5252
Nebraska,5605
Nevada,12103
New Hampshire,12555
New Jersey,32941
New Mexico,7337
New York,63829
North Carolina,32460
North Dakota,2298
Northern Mariana Islands,≤100
Ohio,129950
Oklahoma,13640
Oregon,14403
Pennsylvania,52238
Puerto Rico,≤100
Rhode Island,4196
South Carolina,19622
South Dakota,2425
Tennessee,24181
Texas,90519
Unknown,129
Utah,10117
Vermont,2744
Virgin Islands (U.S.),≤100
Virginia,33443
Washington,25997
"Washington, District of Columbia",8601
West Virginia,7349
Wisconsin,18205
Wyoming,1690
