Location name,Amount spent (INR)
Andaman and Nicobar Islands,379
Andhra Pradesh,54047
Arunachal Pradesh,2099
Assam,31817
Bihar,96995
Chandigarh,4137
Chhattisgarh,22386
Dadra and Nagar Haveli,1921
Delhi,85889
Goa,3224
Gujarat,83251
Haryana,60794
Himachal Pradesh,18693
Jammu and Kashmir,19242
Jharkhand,29278
Karnataka,158278
Kerala,28630
Lakshadweep,≤100
Madhya Pradesh,72430
Maharashtra,212257
Manipur,3984
Meghalaya,161813
Mizoram,1409
Nagaland,1665
Odisha,28857
Puducherry,7714
Punjab region,52726
Rajasthan,106330
Sikkim,1637
Tamil Nadu,66545
Telangana,67174
Tripura,36775
Unknown,207
Uttar Pradesh,190651
Uttarakhand,22548
West Bengal,109990
