Location name,Amount spent (DKK)
Capital Region of Denmark,38552
Central Denmark Region,18135
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8059
Region of Southern Denmark,17405
Unknown,≤100
Zealand Region,10558
