Location name,Amount spent (USD)
Awdal,≤100
Banaadir,≤100
Bari,≤100
Lower Juba,≤100
Middle Shebelle,≤100
Mudug,≤100
Nugal,≤100
Sanaag,≤100
Sool,≤100
Woqooyi Galbeed,≤100
