Location name,Amount spent (INR)
Andaman and Nicobar Islands,200
Andhra Pradesh,63034
Arunachal Pradesh,1408
Assam,18540
Bihar,37062
Chandigarh,2487
Chhattisgarh,23288
Dadra and Nagar Haveli,762
Delhi,50493
Goa,5460
Gujarat,49116
Haryana,30780
Himachal Pradesh,14358
Jammu and Kashmir,10398
Jharkhand,13609
Karnataka,2806377
Kerala,16731
Lakshadweep,≤100
Madhya Pradesh,75226
Maharashtra,142282
Manipur,3403
Meghalaya,3757
Mizoram,476
Nagaland,2073
Odisha,16235
Puducherry,1737
Punjab region,175113
Rajasthan,114524
Sikkim,757
Tamil Nadu,51852
Telangana,44283
Tripura,2507
Unknown,334
Uttar Pradesh,322912
Uttarakhand,13161
West Bengal,79071
