Location name,Amount spent (MXN)
Aguascalientes,4660
Baja California,18880
Baja California Sur,1811
Campeche,13837
Chiapas,8883
Chihuahua,16696
Coahuila de Zaragoza,22770
Colima,2814
Distrito Federal,60329
Durango,4516
Guanajuato,13828
Guerrero,5967
Hidalgo,6581
Jalisco,49783
Michoacán de Ocampo,19839
Morelos,7372
Nayarit,2417
Nuevo León,34355
Oaxaca,7280
Puebla,15971
Querétaro Arteaga,24998
Quintana Roo,9527
San Luis Potosi,8668
Sinaloa,6225
Sonora,16661
State of Mexico,110514
Tabasco,5765
Tamaulipas,21218
Tlaxcala,3262
Unknown,≤100
Veracruz,20635
Yucatán,44966
Zacatecas,3301
