Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,334
Apurímac Region,≤100
Arequipa Region,321
Ayacucho Region,195
Cajamarca Region,343
Callao,243
Cusco Region,334
Huancavelica Region,≤100
Huánuco Region,149
Ica Region,232
Junín Region,288
La Libertad Region,948
Lambayeque Region,287
Lima Region,2230
Loreto Region,166
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,425
Puno Region,317
San Martín Region,184
Tacna Region,106
Tumbes Region,≤100
Ucayali Region,131
Unknown,≤100
