Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,≤100
Cerro Largo Department,≤100
Colonia Department,591
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,2711
Paysandú Department,6170
Rivera Department,482
Rocha Department,≤100
Río Negro Department,103
Salto Department,332
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
