Location name,Amount spent (COP)
Amazonas,16874
Antioquia,13759319
Arauca,197712
Atlantico,715196
Bolivar,1078514
Boyaca,612951
Caldas,654840
Caqueta,438326
Casanare,530706
Cauca,436594
Cesar,292177
Choco,53713
Cordoba,3633302
Cundinamarca,973489
Distrito Especial,4884947
Guainia,20433
Guaviare,20642
Huila,664554
La Guajira,72445
Magdalena,280962
Meta,365055
Narino,216340
Norte de Santander,2312106
Putumayo,546238
Quindio,270915
Risaralda,2181940
San Andres y Providencia,67345
Santander,2067711
Sucre,277302
Tolima,864047
Unknown,320
Valle del Cauca,4876005
Vaupes,482
Vichada,3982
