Location name,Amount spent (ARS)
Buenos Aires,1945419
Catamarca,57953
Chaco,295208
Chubut,115335
Ciudad Autónoma de Buenos Aires,705805
Corrientes,236150
Córdoba,1904600
Entre Rios,203071
Formosa,119799
Jujuy,36093
La Pampa,34103
La Rioja,27469
Mendoza,777699
Misiones,56109
Neuquén,42661
Río Negro,60082
Salta,91870
San Juan,71610
San Luis,451415
Santa Cruz,95115
Santa Fe,574271
Santiago del Estero,43022
Tierra del Fuego,17860
Tucuman,216466
Unknown,166
