Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,115
Apurímac Region,≤100
Arequipa Region,232
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,203
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,153
Junín Region,≤100
La Libertad Region,167
Lambayeque Region,115
Lima Region,1979
Loreto Region,≤100
Madre de Dios Region,112
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,163
Puno Region,182
San Martín Region,164
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
