Location name,Amount spent (COP)
Amazonas,2092
Antioquia,8968852
Arauca,36148
Atlantico,532470
Bolivar,198434
Boyaca,719919
Caldas,466052
Caqueta,135776
Casanare,234269
Cauca,321084
Cesar,233872
Choco,17872
Cordoba,315237
Cundinamarca,577207
Distrito Especial,5879383
Guainia,1778
Guaviare,49548
Huila,809539
La Guajira,59302
Magdalena,648908
Meta,631875
Narino,255568
Norte de Santander,1240537
Putumayo,373925
Quindio,123805
Risaralda,838134
San Andres y Providencia,6314
Santander,1747476
Sucre,543974
Tolima,290407
Unknown,415
Valle del Cauca,4410738
Vaupes,450
Vichada,1121
