Location name,Amount spent (ARS)
Buenos Aires,1987912
Catamarca,47222
Chaco,122514
Chubut,77517
Ciudad Autónoma de Buenos Aires,349827
Corrientes,35076
Córdoba,2029619
Entre Rios,161082
Formosa,29767
Jujuy,31610
La Pampa,116356
La Rioja,23284
Mendoza,125754
Misiones,60133
Neuquén,306589
Río Negro,92750
Salta,380127
San Juan,164983
San Luis,107783
Santa Cruz,10273
Santa Fe,420873
Santiago del Estero,30250
Tierra del Fuego,87201
Tucuman,103653
Unknown,104
