Location name,Amount spent (PKR)
Azad Kashmir,894
Balochistan,2762
Federally Administered Tribal Areas,242
Gilgit-Baltistan,560
Islamabad Capital Territory,1153
Khyber Pakhtunkhwa,9031
Punjab,26740
Sindh,13663
Unknown,≤100
