Location name,Amount spent (AUD)
Australian Capital Territory,1093
Jervis Bay Territory,≤100
New South Wales,16317
Northern Territory,349
Queensland,8829
South Australia,2915
Tasmania,1053
Unknown,≤100
Victoria,9900
Western Australia,5652
