Location name,Amount spent (RON)
Alba County,456
Arad County,1068
Argeș County,792
Bacău County,592
Bihor County,1046
Bistrița-Năsăud County,397
Botoșani County,384
Brașov County,759
Brăila County,411
Bucharest,3728
Buzău County,520
Caraș-Severin County,318
Cluj County,1291
Constanța County,1018
Covasna County,304
Călărași County,287
Dolj County,837
Dâmbovița County,578
Galați County,701
Giurgiu County,324
Gorj County,396
Harghita County,542
Hunedoara County,594
Ialomița County,266
Iași County,1843
Ilfov County,379
Maramureș County,568
Mehedinți County,272
Mureș County,774
Neamț County,423
Olt County,321
Prahova County,973
Satu Mare County,420
Sibiu County,671
Suceava County,572
Sălaj County,217
Teleorman County,346
Timiș County,1114
Tulcea County,253
Unknown,≤100
Vaslui County,303
Vrancea County,375
Vâlcea County,366
