Location name,Amount spent (CZK)
Central Bohemian Region,5637
Hradec Králové Region,2505
Karlovy Vary Region,1515
Liberec Region,1902
Moravian-Silesian Region,5335
Olomouc Region,3528
Pardubice Region,2666
Plzeň Region,2708
Prague,11063
South Bohemian Region,3155
South Moravian Region,6279
Unknown,≤100
Vysočina Region,2342
Zlín Region,2339
Ústí nad Labem Region,4073
