Location name,Amount spent (RON)
Alba County,504
Arad County,591
Argeș County,1144
Bacău County,689
Bihor County,699
Bistrița-Năsăud County,363
Botoșani County,394
Brașov County,977
Brăila County,439
Bucharest,2835
Buzău County,472
Caraș-Severin County,318
Cluj County,1126
Constanța County,913
Covasna County,368
Călărași County,306
Dolj County,755
Dâmbovița County,455
Galați County,820
Giurgiu County,250
Gorj County,417
Harghita County,636
Hunedoara County,456
Ialomița County,228
Iași County,1067
Ilfov County,392
Maramureș County,628
Mehedinți County,255
Mureș County,939
Neamț County,755
Olt County,337
Prahova County,1037
Satu Mare County,425
Sibiu County,466
Suceava County,688
Sălaj County,250
Teleorman County,268
Timiș County,1196
Tulcea County,222
Unknown,≤100
Vaslui County,366
Vrancea County,516
Vâlcea County,460
