Location name,Amount spent (ZAR)
Eastern Cape,933
Free State,841
Gauteng,6424
KwaZulu-Natal,1254
Limpopo,464
Mpumalanga,618
North West,346
Northern Cape,245
Unknown,≤100
Western Cape,8798
