Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,9829,47
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,4899,11
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,3955,17
107217383988190,מגזין אפוק,Epoch Magazine,3117,67
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,2014,3
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,1965,3
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,1899,6
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1666,7
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,1450,56
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1360,48
1073548259341247,לובי 99,לובי 99,1321,8
790149967713981,דרכנו,דרכנו,1288,8
313229072156432,ארקדי פומרנץ - Arkady Pomeranz,ארקדי פומרנץ - Arkady Pomeranz,1115,3
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1029,15
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,928,2
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,844,14
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,819,18
204780362875106,מקור ראשון,מקור ראשון,800,52
115456451553737,יונה יהב,יונה יהב,711,6
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,702,14
104451956273575,נאמני תורה ועבודה,נאמני תורה ועבודה,678,1
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול - Asaf Daabul,657,4
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,619,4
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,606,2
124191360932729,התעוררות בירושלים,התעוררות בירושלים,579,36
104222621115858,הביטחוניסטים,הביטחוניסטים,568,14
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,563,2
112848572066805,מחאת ההייטק,מחאת ההייטק,534,4
175285029214345,הציונות הדתית,ציונות דתית,534,4
