Location name,Amount spent (NZD)
Auckland Region,1958
Bay of Plenty Region,357
Canterbury,638
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,179
Manawatu-Wanganui,262
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,179
Otago,279
Southland,102
Taranaki,124
Tasman District,≤100
Unknown,≤100
Waikato,490
Wellington Region,480
West Coast,≤100
