Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,1231
Bangkok,29102
Bueng Kan,229
Buriram,304
Chachoengsao,243
Chai Nat,≤100
Chaiyaphum,1082
Chanthaburi,1086
Chiang Mai,1741
Chiang Rai,740
Chon Buri,1799
Chumphon,910
Kalasin,231
Kamphaeng Phet,180
Kanchanaburi,396
Khon Kaen,1943
Krabi,260
Lampang,206
Lamphun,118
Loei,141
Lop Buri,150
Mae Hong Son,≤100
Maha Sarakham,278
Mukdahan,308
Nakhon Nayok,≤100
Nakhon Pathom,1899
Nakhon Phanom,4278
Nakhon Ratchasima,1376
Nakhon Sawan,1216
Nakhon Si Thammarat,2757
Nan,≤100
Narathiwat,308
Nong Bua Lam Phu,251
Nong Khai,114
Nonthaburi,1075
Pathum Thani,1038
Pattani,668
Phangnga,173
Phatthalung,1434
Phayao,140
Phetchabun,189
Phetchaburi,449
Phichit,1416
Phitsanulok,3892
Phrae,101
Phuket,2522
Prachin Buri,146
Prachuap Khiri Khan,219
Ranong,192
Ratchaburi,499
Rayong,790
Roi Et,313
Sa Kaeo,129
Sakon Nakhon,1740
Samut Prakan,2247
Samut Sakhon,2696
Samut Songkhram,1598
Saraburi,235
Satun,182
Sing Buri,≤100
Sisaket,329
Songkhla,4795
Sukhothai,353
Suphan Buri,235
Surat Thani,4323
Surin,328
Tak,146
Trang,486
Trat,414
Ubon Ratchathani,619
Udon Thani,306
Unknown,≤100
Uthai Thani,≤100
Uttaradit,110
Yala Province,275
Yasothon,218
