Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,616
Basra Governorate,113
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,214
Erbil Governorate,425
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,151
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,191
Saladin Governorate,≤100
Sulaymaniyah Governorate,377
Unknown,≤100
Wasit Governorate,≤100
