Location name,Amount spent (EUR)
Alsace,959
Aquitaine,1578
Auvergne,443
Basse-Normandie,514
Bourgogne,607
Bretagne,1307
Centre,1047
Champagne-Ardenne,483
Corse,184
Franche-Comté,384
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,745
Languedoc-Roussillon,1431
Limousin,262
Lorraine,844
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1575
New Caledonia,≤100
Nord-Pas-de-Calais,1602
Pays de la Loire,1501
Picardie,643
Poitou-Charentes,703
Provence-Alpes-Côte d'Azur,2689
Reunion Island,217
Rhône-Alpes,2777
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,6105
