Location name,Amount spent (UYU)
Artigas Department,153
Canelones Department,565
Cerro Largo Department,166
Colonia Department,283
Durazno Department,≤100
Flores Department,≤100
Florida Department,120
Lavalleja Department,≤100
Maldonado Department,638
Montevideo Department,4857
Paysandú Department,211
Rivera Department,350
Rocha Department,125
Río Negro Department,136
Salto Department,321
San José Department,141
Soriano Department,131
Tacuarembó Department,147
Treinta y Tres Department,155
Unknown,≤100
