Location name,Amount spent (VND)
An Giang Province,8969
Bà Rịa–Vũng Tàu Province,6235
Bình Dương Province,43887
Bình Phước Province,5961
Bình Thuận Province,6939
Bình Định Province,34441
Bạc Liêu Province,3908
Bắc Giang Province,13334
Bắc Kạn Province,2742
Bắc Ninh Province,11869
Bến Tre Province,5168
Cao Bằng Province,103609
Cà Mau Province,6329
Cần Thơ,5523
Da Nang,8889
Gia Lai Province,7189
Haiphong,13733
Ho Chi Minh City,404940
Hà Giang Province,3693
Hà Nam Province,3815
Hà Tĩnh Province,20563
Hòa Bình Province,4545
Hưng Yên Province,5660
Hải Dương Province,9863
Hậu Giang Province,1918
Khánh Hòa Province,6291
Kiên Giang Province,38731
Kon Tum Province,2602
Lai Châu Province,1216
Long An Province,5970
Lào Cai Province,3980
Lâm Đồng Province,7585
Lạng Sơn Province,7980
Nam Định Province,10361
Nghệ An Province,54988
Ninh Bình Province,4707
Ninh Thuận Province,4392
Phú Thọ Province,7865
Phú Yên Province,6736
Quảng Bình Province,5370
Quảng Nam Province,10942
Quảng Ngãi Province,6353
Quảng Ninh Province,7956
Quảng Trị Province,5566
Sóc Trăng Province,6497
Sơn La Province,8218
Thanh Hóa Province,17803
Thái Bình Province,9593
Thái Nguyên Province,10221
Thừa Thiên–Huế Province,13497
Tiền Giang Province,6148
Trà Vinh Province,4941
Tuyên Quang Province,6733
Tây Ninh Province,5993
Unknown,≤100
Vĩnh Long Province,2902
Vĩnh Phúc Province,6110
Yên Bái Province,32503
Điện Biên Province,3457
Đắk Lắk Province,17632
Đắk Nông Province,3986
Đồng Nai Province,58121
Đồng Tháp Province,6165
