Location name,Amount spent (PKR)
Azad Kashmir,1219
Balochistan,2400
Federally Administered Tribal Areas,278
Gilgit-Baltistan,823
Islamabad Capital Territory,1799
Khyber Pakhtunkhwa,8365
Punjab,27551
Sindh,14094
Unknown,≤100
