Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
888448461239493,Instituto de Belleza Copacabana,These ads ran without a disclaimer,874,1
110812991225129,Secretaría de Salud y Desarrollo Humano,Servicio Departamental de Salud,289,9
964080723662055,Carlos Subirana Responde,Editorial CSS,283,1
109201057318552,JCSV,JCSV,205,9
320503974822994,EAE - Escuela de Abogados del Estado,EAE - Escuela de Abogados del Estado,≤100,5
101824857848955,Enrique Urquidi - Diputado,Enrique Urquidi - Diputado,≤100,2
195933611171149,Eva Copa,Teclea,≤100,1
100301178044225,Viral Noticias,ViralComtv,≤100,1
106403237850347,Goberna Bolivia,Goberna,≤100,1
623442964811479,Ninfa Olarte,Ninfa Olarte,≤100,1
726127371495536,Juan Javier Mendoza Medrano,Juan Javier Mendoza Medrano,≤100,1
105578584118071,Luisa Nayar,Luisa Nayar,≤100,1
102995979141490,Fundemos SRL,These ads ran without a disclaimer,≤100,1
101363499540232,Estudio Jurídico Meneses & Asociados,These ads ran without a disclaimer,≤100,1
382866001825030,Gobierno Autónomo Municipal de Trinidad,Gobierno Autónomo Municipal de Trinidad,≤100,1
947829875276074,BellidO & AsociadoS. Consorcio Jurídico Multidisciplinario.,These ads ran without a disclaimer,≤100,1
108259318940861,TD_Ln2_Cuidado Cariñoso,These ads ran without a disclaimer,≤100,1
1444051759238170,Ejecutiva De Ventas  Bienes Raices,These ads ran without a disclaimer,≤100,1
106950715510480,Luciana Ponce,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,2
104762075732099,Fany Pineda,These ads ran without a disclaimer,≤100,1
103064252668045,Ingees01,These ads ran without a disclaimer,≤100,1
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100,2
113224571601559,Lectura obligada,These ads ran without a disclaimer,≤100,2
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
106170864917317,Aprende y emprende con tus manos,These ads ran without a disclaimer,≤100,2
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,1
106375945766381,Los amo a todos.KK,These ads ran without a disclaimer,≤100,1
103736139244309,Coach Mercedez Lerne,These ads ran without a disclaimer,≤100,1
