Location name,Amount spent (AUD)
Australian Capital Territory,2605
Jervis Bay Territory,≤100
New South Wales,27871
Norfolk Island,≤100
Northern Territory,941
Queensland,24280
South Australia,10667
Tasmania,2311
Unknown,≤100
Victoria,25140
Western Australia,11613
