Location name,Amount spent (VEF)
Amazonas,250000
Anzoátegui,21000000
Apure,889999
Aragua,3750155
Barinas,2062498
Bolívar (state),3500000
Capital District,11256452
Carabobo,35739970
Cojedes,750000
Delta Amacuro,250000
Falcón,2250000
Guárico,1367499
Lara,3750000
Miranda (state),17253613
Monagas,5149996
Mérida,3000000
Nueva Esparta,1500000
Portuguesa,2250000
Sucre,1250000
Trujillo,15500000
Táchira,35500000
Unknown,≤100
Vargas,15352797
Yaracuy,1750000
Zulia,56250000
