Location name,Amount spent (SEK)
Blekinge County,3968
Dalarna County,7949
Gotland County,1768
Gävleborg County,8312
Halland County,7514
Jämtland County,3970
Jönköping County,9301
Kalmar County,6030
Kronoberg County,5417
Norrbotten County,7148
Skåne County,38412
Stockholm County,71267
Södermanland County,7800
Unknown,≤100
Uppsala County,11813
Värmland County,7458
Västerbotten County,7674
Västernorrland County,6416
Västmanland County,7065
Västra Götaland County,49190
Örebro County,8107
Östergötland County,13052
