Location name,Amount spent (IDR)
Aceh,2872773
Bali,2789957
Bangka–Belitung Islands,423190
Banten,2921379
Bengkulu,627872
Central Java,32780203
Central Kalimantan,788445
Central Sulawesi,1896273
East Java,34475441
East Kalimantan,2512359
East Nusa Tenggara,3534233
Gorontalo,1732711
Jakarta,20748929
Jambi,1717389
Lampung,3638457
Maluku,1524560
North Kalimantan,578502
North Maluku,426629
North Sulawesi,2665183
North Sumatra,6883342
Papua (province),677647
Riau,2235454
Riau Islands Province,864901
South Kalimantan,2014868
South Sulawesi,5847767
South Sumatra,3958421
Southeast Sulawesi,1810316
Special Region of Yogyakarta,3840543
Unknown,12839
West Java,16713738
West Kalimantan,2340843
West Nusa Tenggara,3172097
West Papua,349806
West Sulawesi,446235
West Sumatra,2409257
